term,idf_sklearn_default
hours,2.6950248030845043
graduation,2.7021459570204733
related,2.702405866053775
master,2.707095817328776
future,2.7094490672054494
training,2.7152248774338394
high,2.7216965370811472
industries,2.7236860595889727
field,2.724350114331484
key,2.7258125888326594
walk,2.7274104586799552
covid,2.7302128892856574
page,2.7343642176445364
since,2.7343642176445364
family,2.7351696949333535
